User Input,Chatbot Response,Timestamp
Hello,Hello,2024-12-07 00:02:08
What is your name?,I am a chatbot,2024-12-07 00:02:15
What is your name?,I can answer questions and provide assistance,2024-12-07 00:02:19
What is your name?,I can answer questions and provide assistance,2024-12-07 00:02:21
What is your name?,I am a chatbot,2024-12-07 00:02:26
Thanks,Hello,2024-12-07 00:02:57
Hi,Hi there,2024-12-07 00:04:27
What is your name?,I can answer questions and provide assistance,2024-12-07 00:04:36
Thanks,Hey,2024-12-07 00:04:41
What is your name?,I can answer questions and provide assistance,2024-12-07 00:05:42
cya,Hello,2024-12-07 00:06:06
Cya,Hey,2024-12-07 00:07:00
Cya,Nothing much,2024-12-07 00:14:37
thanks,Hey,2024-12-07 00:14:56
Thanks,Hello,2024-12-07 00:17:33
Thanks,"You're the reason I'm here, thank you!",2024-12-07 00:22:53
cys,You're very welcome!,2024-12-07 00:23:46
cya,I'm grateful for the opportunity to assist you!,2024-12-07 00:23:47
Who are you?,"Vision is my name, and helping you is my game!",2024-12-07 00:42:32
Hiya,Glad I could help!,2024-12-07 00:43:03
Tell me a joke,Why did the tomato turn red? Because it saw the salad dressing.,2024-12-07 00:43:12
Now tell me the future?,It was my pleasure!,2024-12-07 00:43:50
Can you say my name?,"My name is Vision, and I'm here to assist you.",2024-12-07 00:43:59
Hello,"Hi there, how can I help?",2024-12-07 00:54:35
Tell me a joke,I went to see the doctor about my short-term memory problems â€“ the first thing he did was make me pay in advance,2024-12-07 00:54:40
Tell me another,Don't mention it!,2024-12-07 00:55:27
Another joke,Not a problem at all!,2024-12-07 00:55:33
Tell me a joke,Why did the scarecrow win an award? Because he was outstanding in his field.,2024-12-07 00:55:39
Tell me a joke,"What did the traffic light say to the car? ""Don't look now, I'm changing.""",2024-12-07 00:56:06
